@lat	@lon	name
41.1273458	-100.7634429	Fire Station #1
42.0334564	-97.4172687	Norfolk Fire Division
42.5969469	-98.0336814	Verdigre Fire Department
41.5529113	-100.9577131	Tryon Fire Department
41.9783532	-100.5762665	Thedford City Fire Department
41.5527633	-100.9577557	McPherson County Fire Hall
41.0942703	-101.8878056	Brule Volunteer Fire Hall
41.1244058	-101.3571095	Paxton Fire Department
41.3314527	-102.1440283	Lewellen Fire Department
41.1264153	-101.7153771	Ogallala Fire Department
41.4035820	-102.3454291	Garden County Fire Department
41.4035200	-102.3454825	Oshkosh Fire Department
42.9195304	-101.7009492	Merriman Fire Department
42.7178299	-102.4654415	Rushville Fire Department
42.8755611	-100.5510624	Valentine Fire Department
42.6388121	-100.2387725	Wood Lake Fire Department
41.2322031	-103.8918913	Bushnell Fire Hall
41.5567515	-103.7433222	Banner County Fire Department
41.2352583	-103.4863254	Dix Fire Hall
41.2368763	-103.6647203	Kimball Fire Department
41.1421163	-102.9797874	Sidney Fire Department
41.3222034	-102.9707586	Gurley Fire Department
41.2174813	-103.3157655	Potter Fire Hall
42.8298964	-103.0037716	Chadron City Volunteer Fire Department
41.8212226	-103.6612863	Gering Fire Hall
41.8649576	-103.6651324	Scottsbluff Fire Department
41.9647463	-103.9265779	Morrill Fire Department
42.3213510	-103.0757536	Hemingford Fire Department
42.0979158	-102.8731120	Alliance Area Fire/Emergency Center
42.9636101	-99.0967626	Naper Fire Department
42.0644940	-100.2587315	Purdum Rural Fire Department
42.4549010	-98.6474518	O'Neill Fire Station
42.5313912	-98.9781525	Atkinson Fire Department
42.5858087	-99.5381319	Bassett Fire Department
42.8736082	-98.7016236	Spencer Fire Department
42.8302762	-98.4661932	Lynch City Fire Department
40.3491624	-101.1075526	Palisade Fire Department
42.5483558	-99.8617032	Ainsworth Fire Station
42.6014723	-99.3276151	Newport Fire Department
40.1983366	-100.6323744	McCook Fire Station
40.0505135	-100.2762925	Lebanon Fire Department
40.2505617	-100.3087540	Bartley Fire Department
40.6625261	-100.0295256	Eustis Fire Hall
40.4183299	-101.3712753	Wauneta Fire Department
40.7522303	-100.7298694	Maywood-Wellfleet Rural Fire Hall
41.1422203	-100.7618122	North Platte Fire Department
41.0793450	-100.5250612	
41.0218140	-100.3654108	Brady Fire Department
40.8261177	-100.9929277	Dickens Fire Department
42.0408308	-101.0468262	Mullen Fire Department
41.9034461	-100.2693785	Halsey Fire Department
42.0219276	-101.9276811	Ashby Firehouse
42.0006777	-101.7607045	Hyannis Fire Department
42.5066113	-97.2018915	Coleridge Fire Hall
42.3500044	-97.7897867	Plainview Fire Hall
42.4544372	-97.4699259	Magnet Fire Hall
42.6996147	-97.3624795	Fordyce Fire Hall
42.3774481	-97.3571569	Randolph Fire Hall
42.7399981	-97.1711615	Wynot Fire Hall
42.1700877	-98.1882859	Clearwater Fire House
42.3377827	-97.9706228	Brunswick Rural Fire Protection
40.7783328	-98.7342471	Shelton Fire Hall
41.0119524	-99.6239977	Eddyville Fire Department
40.6979372	-99.0799401	Kearney Fire Department
