FACID,FACNAM,CASNO,RPTNAM,STORLC,CHEMID,CHMSRT,max amount code,Maximum Amount (pounds),avg amount code,Average Amount (pounds),CONF,DEL,FIRE,GAS,IMM,LIQUID,MIX,PRSSRE,PURE,REAC,SOLID,STDAYS,STORCD,SUDREL,TEMPCD,TRDSEC,YR,Hazard_explosive,Hazard_flammable,Hazard_oxidizer,Hazard_selfReactive,Hazard_pyrophoricLiqSol,Hazard_pyrophoricGas,Hazard_selfHeating,Hazard_organicPeroxide,Hazard_corrosiveToMetal,Hazard_gasUnderPressure,Hazard_icwwEmitsFlammableGas,Hazard_combustibleDust,Hazard_acuteToxicity,Hazard_skinCorrosion,Hazard_seriousEyeDamage,Hazard_respOrSkinSensitization,Hazard_germCellMutagenicity,Hazard_carcinogen,Hazard_reprodToxicity,Hazard_specTargOrgToxicity,Hazard_aspirationHaz,Hazard_simpleAsphyxiant,Hazard_notOtherwiseClassified
114,Cooperative Producers Inc,7664-41-7,"Ammonia, (Anhydrous)",on site,3272,"AMMONIA, (ANHYDROUS)",11,"500,000 - 999,999",10,"100,000 - 499,999",,,,Y,Y,Y,,2,Y,,,365,A,Y,4,,2024,,,,,,,,,,T,,,T,T,T,,,,,,,,
114,Cooperative Producers Inc,6484-52-2,UAN-32,Tanks NW corner of property,3293,AMMONIUM NITRATE-UREA SOLUTION,10,"100,000 - 499,999",05,"5,000 - 9,999",,,,,Y,Y,Y,1,,,,120,A,,4,,2024,,,,,,,,,,,,,,,T,,,,,,,,
114,Cooperative Producers Inc,,Ammonium Thiosul,Tanks NW corner of property,4692,FERTILIZER SOLUTION,10,"100,000 - 499,999",09,"75,000 - 99,999",,,,,Y,Y,Y,1,,,,365,A,,4,,2024,,,,,,,,,,,,,T,,T,,,,,T,,,
114,Cooperative Producers Inc,,10-34-0,Tanks NW corner of property,4692,FERTILIZER SOLUTION,10,"100,000 - 499,999",05,"5,000 - 9,999",,,,,Y,Y,Y,1,,,,365,A,,4,,2024,,,,,,,,,,,,,T,,T,,,,,T,,,
116,Remington Seeds LLC,68334-30-5,,Above ground fuel tank with retention barrier,4527,DIESEL FUEL #1 & #2,08,"50,000 - 74,999",08,"50,000 - 74,999",,,,,,Y,,1,Y,,,365,A,,4,,2024,T,,,,,,,,,,,,T,T,T,T,,,,,,,
116,Remington Seeds LLC,210880-92-5,Clothianidin,warehouse,0,Clothianidin,06,"10,000 - 24,999",06,"10,000 - 24,999",,,,,,Y,Y,1,,,,365,E,,4,,2024,,,,,,,,,,,,,T,T,T,T,,,,,,,
125,Dutton-Lainson Company,7664-93-9,SULFURIC ACID (70-100%),PLATING BUILDING (storage),4302,SULFURIC ACID,04,"1,000 - 4,999",04,"1,000 - 4,999",,Y,,,Y,Y,Y,1,,Y,,365,E,,4,,2024,,,,,,,,,T,,,,T,T,T,,,,,,,,
125,Dutton-Lainson Company,79-01-6,Trichloroethlyene,"Used in vapor degreaser, building M2/new TCE in M11/waste TCE in M8",4361,TRICHLOROETHYLENE,06,"10,000 - 24,999",05,"5,000 - 9,999",,Y,,Y,Y,Y,,1,Y,,,365,D,,4,,2024,,,,,,,,,,,,,,T,T,,T,T,,T,,,
125,Dutton-Lainson Company,7664-39-3,Tripass ELV Tecblue,Plating Building,3879,HYDROFLUORIC ACID SOLUTION,02,100 - 499,02,100 - 499,,,,,,Y,Y,1,,,,365,E,,4,,2024,,,,,,,,,T,,,,T,T,T,T,T,T,T,T,T,,
125,Dutton-Lainson Company,7439-92-1,Lead acid Batteries,Material Handling Equipment,1736,LEAD,06,"10,000 - 24,999",06,"10,000 - 24,999",,,,,,,Y,1,,,Y,365,R,,4,,2024,,,,,,,,,,,,,T,,,,,T,T,,,,
125,Dutton-Lainson Company,7664-93-9,Sulfuric Electrolyte,Material Handling Equipment,4302,SULFURIC ACID,04,"1,000 - 4,999",04,"1,000 - 4,999",,,,,,Y,Y,1,,,,365,R,,4,,2024,,,,,,,,,T,,,,T,T,T,,,,,,,,
128,Hastings Hide Inc,7681-52-9,Hypochlorite Solution,South side in middle of inside building.,4312,SODIUM HYPOCHLORITE SOLUTION,06,"10,000 - 24,999",06,"10,000 - 24,999",,,,,,Y,Y,1,,,,365,C,,4,,2024,,,,,,,,,T,,,,,T,T,,,,,T,,,
133,Thermo King Corporation,64742-65-0,10W-30 Engine Oil,Bulk Storage Building On North Side of Manufacturing Building In Gated Area,4618,OILS & LUBRICANTS,06,"10,000 - 24,999",05,"5,000 - 9,999",,,Y,,,Y,,1,Y,,,365,C,Y,4,,2024,,,,,,,,,,,,,,T,,,,T,,,,,
133,Thermo King Corporation,7664-93-9,Sulfuric Acid,Forklift Batteries and 55 gallon drums in Paint & Water Treatment,4302,SULFURIC ACID,05,"5,000 - 9,999",05,"5,000 - 9,999",,,,,Y,Y,Y,1,,Y,,365,E,Y,4,,2024,,,,,,,,,T,,,,,,,,,,,,,,
133,Thermo King Corporation,7440-37-1,Refrigerated Liquid Argon,north side outside of building in a gated area,189,"ARGON, (REFRIGERATED LIQUID)",06,"10,000 - 24,999",06,"10,000 - 24,999",,,,,Y,Y,,2,Y,,,365,A,Y,7,,2024,,,,,,,,,,T,,,,,,,,,,,,,
133,Thermo King Corporation,7727-37-9,Refrigerated Liquid Nitrogen,northeast corner outside of building in gated area,4121,"NITROGEN, (REFRIGERATED LIQUID)",07,"25,000 - 49,999",07,"25,000 - 49,999",,,,,Y,Y,,2,Y,,,365,A,Y,7,,2024,,,,,,,,,,T,,,,,,,,,,,,,
133,Thermo King Corporation,7782-44-7,Refrigerated Liquid Oxygen,northeast corner outside of building,2242,"OXYGEN, (REFRIGERATED LIQUID)",06,"10,000 - 24,999",06,"10,000 - 24,999",,,,,Y,Y,,2,Y,,,365,A,Y,7,,2024,,,,,,,,,,T,,,,,,,,,,,,,
133,Thermo King Corporation,7439-92-1,Lead Acid Battery,Material handling equipment throughout the facility,1736,LEAD,07,"25,000 - 49,999",07,"25,000 - 49,999",,Y,,,,,Y,1,,Y,Y,365,R,,4,,2024,T,,,,,,,,T,,,,T,,,,,,,,,,
134,Flowserve,1302-78-9,Green Sand Bond Mixture,N Central Part of Facility,4645,BENTONITE,04,"1,000 - 4,999",04,"1,000 - 4,999",,Y,,,,,Y,1,,,Y,365,J,,4,,2024,,,,,,,,,,,,,,T,T,,,,,,,,
134,Flowserve,7440-50-8,,Throughout Facility Site,648,COPPER,02,100 - 499,01,0 - 99,,Y,,,,,Y,1,,,Y,365,R,,4,,2024,,,,,,,,,,,,,,T,T,T,,,,T,,,
134,Flowserve,7439-89-6,Cast Iron,Throughout Plant (All Locations),4694,IRON,06,"10,000 - 24,999",06,"10,000 - 24,999",,Y,,,,Y,Y,1,,,Y,365,R,,4,,2024,,,,,,,,,,,,,,T,T,T,,,,T,,,
134,Flowserve,7727-37-9,"NITROGEN, REFRIGERATED LIQUID",NORTH OF ASSEMBLY BUILDING  LOCATED EAST OF MAIN FACILITY,2102,NITROGEN,05,"5,000 - 9,999",05,"5,000 - 9,999",,,,,,Y,,1,Y,,,365,A,,4,,2024,,,,,,,,,,T,,,T,T,T,T,,,,,,,
