FACID,FNAME,302_CONTACT,302_PHONE,PRIMARY_CONTACT,PRIMARY_CONTACT_PHONE,PRIMARY_CONTACT_24HR,SECONDARY_CONTACT,SECONDARY_CONTACT_PHONE,SECONDARY_CONTACT_24HR
114,Cooperative Producers Inc,Laura Hammer,402-984-4066,Laura Hammer,402-756-5711,402-984-4066,Rob Evers,402-744-0872,308-991-2763
116,Remington Seeds LLC,Andrew Giesemann,651-270-4717,Joe Melnick,913-594-1305,402-580-0281,Andrew Giesemann,563-451-8659,651-270-4717
125,Dutton-Lainson Company,Kris J Ridgway,402-705-2832,Kris J Ridgway,402-462-4141,402-705-2832,Milan Norton,402-462-4141,402-460-4679
128,Hastings Hide Inc,,,Jake Lipker,402-819-0913,402-469-6908,David Fuller,402-819-0913,308-391-2544
133,Thermo King Corporation,Kevin Miller,308-227-4459,Kevin Miller,402-461-8454,308-227-4459,Charles Wagner,402-461-2216,308-380-7116
134,Flowserve,Kyle Oakeson,402-200-8314,Kyle Oakeson,402-461-2706,402-200-8314,Jeff Roudybush,402-461-2764,785-307-4129
136,Gibraltar Packaging Inc,Amy Lusk,402-462-7510,Teena Kucera,,402-460-9690,Kathryn Boltz,402-462-7529,
138,Bruckman Rubber Co,Larry Richards,402-463-3129,Travis Turek,402-463-3129,,Dave Meyer,402-463-3129,
142,Pump & Pantry 24,JR Pulver,402-461-9893,Frederick A Bosselman,308-381-6900,308-380-0779,Mike Epp,308-398-6368,402-705-8301
203,Consolidated Concrete Co,Eric Freeman,402-705-3174,Eric Freeman,402-463-1393,402-705-3174,Steve Karr,402-463-1393,402-469-6231
204,Nutrien Ag Solutions,Amy Meyer,402-720-5090,Amy Meyer,402-463-7200,402-720-5090,Matthew Whitney,402-463-7200,402-469-1044
205,Cooperative Producers Inc,Shawn Stanger,402-902-2793,Shawn Stanger,402-463-5148,402-902-2793,Jared Peters,,308-390-6593
247,AGP Grain Marketing LLC,Keith E Wilt,402-879-5883,Keith E Wilt,402-463-2446,402-879-5883,Mark Jorgensen,,402-879-9310
421,Cooperative Producers Inc,Tom White,308-470-1634,Tom White,402-463-6875,308-470-1634,Larry Dygert,402-463-5148,402-705-0617
473,JM Eagle,Travis J McCall,402-462-7231,Scott Stanger,402-462-7223,402-519-3862,Robert Paul,402-462-7233,402-469-7861
562,AGP Grain Marketing LLC,Keith E Wilt,402-879-5883,Keith E Wilt,402-463-2446,402-879-5883,Mark Jorgensen,,402-879-9310
723,A-1 Fiberglass,Brayan Rodela,402-800-4946,Brayan Rodela,402-463-0180,402-800-4946,John Doescher,402-463-0180,308-380-7979
736,NDOT Hastings Yard,James F Delarm,402-469-4721,James F Delarm,402-462-1996,402-469-4721,Ben Merchant,308-385-6888,308-379-5129
900,Cooperative Producers Inc,Seth Meadows,402-366-3184,Seth Meadows,402-744-2361,402-366-3184,Larry Dygert,402-463-5148,402-705-0617
902,Cooperative Producers Inc,,,,,,Kevin Kalsbeck,308-358-0250,308-750-7796
907,Cooperative Producers Inc,Tim Uden,402-751-2255,Bryan Thomas,402-751-2255,308-830-1239,Jared Peters,,308-390-6593
938,CHS Inc,Gary Perowitz,320-287-3109,Edward Kobza,308-995-8626,402-984-4904,John Ptacnik,,308-991-9064
945,T-L Irrigation Co,James Thom,402-462-4128,Christopher Thom,,308-830-2744,Marc Lubken,,402-462-4128
1127,Schindler Flying Inc,Rick Schindler,402-640-4535,Rick Schindler,402-887-4827,402-640-4535,Nick Schindler,402-887-4827,402-649-0754
1213,Ag Agronomy Center LLC,Clayton Hensley,402-380-5941,Clayton Hensley,,402-380-5941,Marcus Echtenchamp,402-776-2453,402-860-5485
1250,Central Valley Ag Agronomy,David Henn,800-535-5053,David Henn,402-843-8861,800-535-5053,Brian Henn,402-843-8086,800-535-5053
1310,Wilbur-Ellis Company LLC,Travis Bostock,402-322-0347,Travis Bostock,402-893-3905,402-322-0347,Eric Allemang,402-893-3905,402-929-0830
1418,Central Valley Ag Bulk Fuel,Dylan Haas,800-535-5053,Dylan Haas,402-648-2251,800-535-5053,Tyson Cruise,402-678-2251,800-535-5053
1419,Central Valley Ag,Dylan Haas,800-535-5053,Dylan Haas,402-648-2251,800-535-5053,Tyson Cruise,402-678-2251,800-535-5053
1430,Ferrellgas,Matt Burrow,214-543-9369,Matt Burrow,888-494-2762,214-543-9369,Greg Howard,888-494-2762,515-494-5111
1447,Helena Agri-Enterprises LLC,Bryan Abner,402-929-0846,Bryan Abner,,402-929-0846,Joey Neidhardt,402-395-5051,402-741-2937
1459,Highway 91 Oil Company,Jeff Briese,402-741-1190,Jeff Briese,402-395-6323,402-741-1190,Chad Briese,402-395-6323,402-741-0246
1545,NDOT Albion Yard,Kevin A Miller,402-750-5223,Kevin A Miller,402-395-6100,,Austin Mrsny,402-564-4126,402-750-5224
1549,Helena Agri-Enterprises LLC,Bryan Abner,402-929-0846,Bryan Abner,,402-929-0846,David R Redler,,402-750-6661
1674,Central Valley Ag,Dylan Haas,800-535-5053,Dylan Haas,402-648-2251,800-535-5053,Tyson Cruise,402-678-2251,800-535-5053
1699,Parker Hannifin Corporation,Angela Kaiser,308-763-3319,Chris S Nelson,308-763-3304,308-760-7722,Josh Trussell,308-763-3330,308-760-1767
1707,Pepsi-Cola Bottling Co,Justin Baum,308-760-7146,Justin Baum,308-762-9768,308-760-7146,Justin Baum,308-762-9768,308-760-7146
1734,New Alliance Div of WESTCO,David W Briggs,308-762-3112,David Shields,308-762-3112,308-631-1446,Austin Uhrig,308-762-3112,308-249-4210
1870,Phillips F & T Inc,Robert Phillips,308-487-3535,Robert Phillips,,308-487-3535,addressee PERSS,800-728-2482,800-633-8253
1886,Progress Rail Services Corp,Tanya Girouard,810-510-3952,Justin Shrewsbury,308-762-1393,308-641-6869,Zach Jeppson,,859-918-8989
1897,BNSF Railway Company,Robert Schroeder,531-530-9984,Bret Bridges,308-760-8564,888-528-9475,Dawn Elford,308-458-7511,888-528-9475
1926,Simplot Grower Solutions,Leo Jacobo,308-458-7931,Leo Jacobo,308-762-7110,308-458-7931,Victor Jacobo,308-762-7110,308-764-7323
1945,WESTCO Inc,David W Briggs,308-762-3112,Jess Wimmer,308-762-3112,308-760-7592,David Shields,308-762-3112,308-631-1446
2089,WESTCO Propane Bulk Plant,David W Briggs,308-762-3112,Jess Wimmer,308-762-3112,308-760-7592,Austin Uhrig,308-762-3112,308-249-4210
2116,Sapp Bros Petroleum Inc,Randy Benson,402-679-1390,Brad Ludemann,402-775-2591,402-336-8437,Mike Nuccio,,402-380-1655
2145,NDOT Spencer Yard,Michael C Haney,402-340-0827,Chuck D Osborn,402-387-2472,402-822-0747,Michael C Haney,402-589-1340,402-340-0827
2151,Sapp Bros Petroleum Inc,Randy Benson,402-679-1390,Brad Ludemann,402-775-2591,402-336-8437,Mike Nuccio,,402-380-1655
2301,Madison's Great Western,Brent Deibler,402-387-1440,Robert Maxwell,402-387-2870,402-760-1340,Tom Lucht,402-387-2890,402-760-0530
2321,NDOT District 08 Headquarters,Traci Ganser Booth,402-336-9055,Shaun D Emerson,402-387-2472,402-382-5241,Tyler L Ammon,402-387-2472,402-760-1484
2367,Central Valley Ag Feed Mill,Tanner Jones,800-535-5053,Tanner Jones,308-530-4679,800-535-5053,Jesus Lopez,402-643-5051,800-535-5053
2374,Eaton Corporation,Craig Dubbs,308-850-1757,Douglas A Ourada,402-460-4328,248-885-9687,Craig Dubbs,308-383-4690,
2375,Henningsen Foods Inc,David Behrendt,308-627-8929,David Behrendt,308-452-3221,308-627-8929,Eric Fisher,308-452-3221,308-293-7325
2395,Nutrien Ag Solutions,Ron Fitzke,308-440-6440,Sid Haarberg,308-237-5194,308-238-4520,Ron Fitzke,308-237-5194,308-440-6440
2398,Baldwin Filters Inc,Brian Perkins,308-455-7511,Brian Perkins,308-233-9478,308-455-7511,Cory Smallcomb,308-233-9453,308-440-8624
2413,Rusty's Fertilizer Inc,Eugene Florell,308-856-4410,Eugene Florell,308-856-4469,308-856-4410,Kyle Moes,308-856-4401,308-440-9189
2421,The Andersons Inc,Scott Lentz,419-276-1284,Scott Lentz,419-891-4481,419-276-1284,Michael Slater,,308-380-5849
2452,Buffalo Air Services Inc,James Holliday,402-694-7713,Sean M Penner,,308-224-6119,Kurt Franklin,,402-604-1874
2557,Titan Machinery Inc,,,Marcus Dunbar,308-237-3128,308-440-2559,Mary Redwine,308-237-3128,308-627-3395
2774,Bowie Fertilizer Inc,Ricky J Bowie,308-236-3434,Ricky J Bowie,308-457-2161,308-236-3434,Kirby D Burden,308-457-2161,308-440-5685
2789,West Pharmaceutical Services,Crystal Libich,605-415-3879,Crystal Libich,308-233-3813,605-415-3879,Erich Sawyer,308-233-3829,308-249-3163
2861,Frontier Communications,Brian McGuinness,800-590-6605,Brian McGuinness,916-670-8946,800-590-6605,Randy Robertson,945-261-5087,800-590-6605
2935,Clevenger Farm Products,Robert Clevenger,308-216-0615,Robert Clevenger,308-468-5645,308-468-5159,Colby Clevenger,308-468-5645,308-216-1532
2948,Darling Ingredients Inc,William Holmes,972-541-7120,Benito Galvan,,308-455-7735,Brad Lindell,308-646-2488,402-503-9846
2971,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Andrew Tann,308-234-9572,308-627-9665,Justin Nixon,308-234-9572,308-627-0353
3099,Clevenger Petroleum Cardlock,Robert Clevenger,308-216-0615,Robert Clevenger,308-236-5919,308-216-0615,Burke Lienemann,,308-216-0614
3147,Jiffy Lube 0030,Lillian Nicholson,972-812-7910,,,,Lillian Nicholson,972-812-7935,972-812-7910
3218,NDOT Kearney Yard,Ben Merchant,308-379-5129,Mark Witt,308-865-5424,308-390-5173,Dave F Carroll,308-385-6263,308-390-0175
3219,NDOT Kearney Yard I-80,Ben Merchant,308-390-0172,Ron Griggs,308-865-5430,308-390-0178,Dave F Carroll,308-385-6263,308-390-0175
3265,The Andersons B4 Grain,Ben Bennett,260-350-8888,Ben Bennett,,260-350-8888,Robert Brown,,308-749-2554
3273,Sapp Bros Landmark Inc,Rocky L Janssen,308-293-5131,Rocky L Janssen,308-234-1662,308-293-5131,Megan Albrecht,308-234-1662,308-222-0491
3361,Bunge USA Grain LLC,Cody Daniels,308-340-2910,Cody Daniels,308-708-6016,308-340-2910,Harley Bennett,308-708-6000,531-282-7398
