FACID,YR,LAT,LON,LLDESC,LLSRC,RDATUM,CDATE
114,2024,40.463035,98.652146,20' SE of entrance,GPS-DIF,83,2001-07-31
116,2024,40.579001,98.241178,50' S of door to seed treatment building,GPS-DIF,83,2000-06-20
125,2024,40.585260,98.402540,parking lot west of front door,GPS-WAAS,83,2006-06-29
128,2024,40.579503,98.255831,50' N of door '1',GPS-DIF,83,2000-06-20
133,2024,40.571460,98.406660,100 feet west of west door of building,GPS-WAAS,83,2006-03-06
134,2024,40.585163,98.398888,"On drive, NE corner of bldg.",GPS-DIF,83,2001-07-31
136,2024,40.569640,98.408000,northeast entrance to facility,GPS-WAAS,83,2006-03-06
138,2024,40.582918,98.387552,"Curbside W side, 40' from entrance",GPS-DIF,83,2001-07-31
142,2024,40.582180,98.360242,NW corner of bldg.,GPS-DIF,83,2001-07-31
203,2024,40.606306,98.401468,E corner entrance on Baltimore,GPS-DIF,83,2001-07-31
204,2024,40.583160,98.335265,drive,GOOGLE,84,2016-03-02
205,2024,40.584747,98.354439,"middle entry drive, west side N Showboat Blvd",DIG-DOQ,83,2010-01-04
247,2024,40.567974,98.413735,intersection of facility access road & W Hwy 6,DIG-DOQ,83,2009-12-21
421,2024,40.696240,98.368620,"main entr,~100'SW of scale house/offce on Clark St",GPS-WAAS,83,2007-08-24
473,2024,40.584679,98.409371,parking stall in front of main (east) building,GOOGLE,84,2016-03-02
562,2024,40.468890,98.553710,southeasternmost drive,DIG-DOQ,83,2015-12-04
723,2024,40.564980,98.312480,parking lot of main office,GPS-WAAS,83,2005-09-21
736,2024,40.581100,98.278180,drive,DIG-DOQ,83,2013-03-25
900,2024,40.666468,98.591838,drive,GOOGLE,84,2016-03-02
902,2024,40.597230,98.504300,west drive,DIG-DOQ,83,2015-12-08
907,2024,40.592660,98.508030,10 feet north of scale house/office,GPS-WAAS,83,2006-10-19
938,2024,40.469810,98.558270,grain elevator,DIG-DOQ,83,2015-12-04
945,2024,40.580799,98.267999,60' S of sales office door,GPS-DIF,83,2000-06-20
1127,2024,42.109215,98.038123,"30' E of AVGas tank, 40' NW of corner of hanger",GPS-DIF,83,2000-05-15
1213,2024,42.075643,97.971125,20' E of door,GPS-DIF,83,2000-05-15
1250,2024,41.989279,98.084177,"60' W of door, 20' W of building",GPS-DIF,83,2000-05-15
1310,2024,42.333280,98.237987,15' NW of door,GPS-DIF,83,2000-05-15
1418,2024,41.569791,97.866839,"50' NW of door, NW corner of lot",GPS-DIF,83,2000-05-15
1419,2024,41.569200,97.865650,"along west side of bldg,~12' from entrance door",GPS-WAAS,83,2022-02-17
1430,2024,41.696477,98.003840,15' S of door,GPS-DIF,83,2000-05-15
1447,2024,41.699115,98.007343,driveway on Hwy 14,GPS-DIF,83,2000-05-15
1459,2024,41.690862,97.995916,20' NE of door,GPS-DIF,83,2000-05-15
1545,2024,41.675237,97.980648,S end of gate,GPS-DIF,83,2000-05-15
1549,2024,41.853394,98.080340,25' NW of door (113 E Main St),GPS-DIF,83,2021-10-19
1674,2024,41.565946,97.861828,"roadside, 60' SW of door",GPS-DIF,83,2000-05-15
1699,2024,42.090795,102.839430,first stall visitor parking,DIG-DOQ,84,2014-09-18
1707,2024,42.095360,102.873600,front of office,GPS-WAAS,83,2008-08-28
1734,2024,42.109130,102.896840,parking lot east side of office,GPS-WAAS,83,2007-03-21
1870,2024,42.321892,103.190061,easternmost drive,GOOGLE,84,2016-03-02
1886,2024,42.097180,102.788580,30'E of entrance,GPS-WAAS,83,2007-03-21
1897,2024,42.094790,102.870880,E side admin division bldg loc at 1&Box Butte Sts,GPS-WAAS,83,2005-10-12
1926,2024,42.219638,102.976117,drive from Jefferson Rd,GOOGLE,84,2016-03-02
1945,2024,42.097240,102.880310,"S side facility bldg, about 20 ft W of front door",GPS-WAAS,83,2005-10-12
2089,2024,42.095558,102.853034,building at propane plant,GOOGLE,84,2016-03-02
2116,2024,42.962364,99.095310,"W drive, 50' NE of door, 20' N of bulk fuel tanks",GPS-DIF,83,2001-07-31
2145,2024,42.870734,98.701348,gate,GPS-DIF,83,2001-07-31
2151,2024,42.828280,98.469810,drive,DIG-DOQ,84,2015-09-18
2301,2024,42.550270,99.887740,east drive on Hwy 20,DIG-DOQ,83,2013-08-15
2321,2024,42.550460,99.852940,15 feet south of main entrance,GPS-WAAS,83,2005-09-30
2367,2024,42.545262,99.861632,building,GOOGLE,84,2018-03-02
2374,2024,40.709540,99.026570,at west entrance,GPS-WAAS,83,2007-09-12
2375,2024,41.023940,98.910350,10 feet west of main entrance,GPS-WAAS,83,2006-03-31
2395,2024,40.691861,99.102088,Drive 40 yards S of facility,GPS-DIF,83,2001-07-31
2398,2024,40.709964,99.018578,Gate entrance off Highway 30,GPS-DIF,83,2014-04-03
2413,2024,40.657080,99.380490,south entrance to west facility on Hwy 183,GPS-WAAS,83,2006-10-03
2421,2024,40.732700,98.912540,"entr to fac,W sd Optic Rd,~15-'S of jct Optic&Hy34",GPS-WAAS,83,2006-02-22
2452,2024,40.719199,99.015846,entrance to Airport on Airport Rd,GOOGLE,84,2016-03-02
2557,2024,40.681134,99.085869,20 yards E of door,GPS-DIF,83,2019-02-28
2774,2024,40.928730,99.391070,west main entrance on Hwy 40,GPS-WAAS,83,2006-09-29
2789,2024,40.694716,99.095048,10 yards E of SE corner of building,GPS-DIF,83,2001-07-31
2861,2024,40.698863,99.083106,15 ft from SE corner of bldg,GPS-DIF,83,2001-07-31
2935,2024,40.734790,98.845610,Drive. 50 yards east of residence,GPS-DIF,83,2001-07-31
2948,2024,41.024910,98.906260,north of main entrance to offices 15 feet,GPS-WAAS,83,2006-03-31
2971,2024,40.713803,98.995004,20 yards SW of Office,GPS-DIF,83,2001-07-31
3099,2024,40.682266,99.087328,30 yards W of bldg,GPS-DIF,83,2001-07-31
3147,2024,40.686378,99.085330,20 yards W of facility,GPS-DIF,83,2001-07-31
3218,2024,40.699537,99.129385,20 yards south of facility,GPS-DIF,83,2001-07-31
3219,2024,40.673830,99.087770,drive,DIG-DOQ,83,2013-03-25
3265,2024,40.693637,99.086180,15 ft S of office,GPS-DIF,83,2001-07-31
3273,2024,40.678340,99.255890,S side main E entr to facility(W side Odessa Rd),GPS-WAAS,83,2006-06-14
3361,2024,40.701840,99.061890,at office near scale,GPS-WAAS,83,2005-10-01
3390,2024,41.016910,98.912640,west entrance to facility (east side Ravenna Rd),GPS-WAAS,83,2006-12-14
