Facility ID,Facility Name,Facility Street,Facility City,Facility State,Facility ZIP,County,Mail Contact,Mail Address1,Mail Address2,Mail Suite,Mail City,Mail State,Mail ZIP,Hazard_explosive,Hazard_flammable,Hazard_oxidizer,Hazard_selfReactive,Hazard_pyrophoricLiqSol,Hazard_pyrophoricGas,Hazard_selfHeating,Hazard_organicPeroxide,Hazard_corrosiveToMetal,Hazard_gasUnderPressure,Hazard_icwwEmitsFlammableGas,Hazard_combustibleDust,Hazard_acuteToxicity,Hazard_skinCorrosion,Hazard_seriousEyeDamage,Hazard_respOrSkinSensitization,Hazard_germCellMutagenicity,Hazard_carcinogen,Hazard_reprodToxicity,Hazard_specTargOrgToxicity,Hazard_aspirationHaz,Hazard_simpleAsphyxiant,Hazard_notOtherwiseClassified
114,Cooperative Producers Inc,9870 S Main Ave,Holstein,NE,68950,Adams,Deanna Hammond,PO Box 1008,,,Hastings,NE,68902-1008,,,,,,,,,,,,,,,,,,,,,,,
116,Remington Seeds LLC,311 Road 3168,Hastings,NE,68901-9413,Clay,Joe Melnick,311 Road 3168,,,Hastings,NE,68901-9413,,,,,,,,,,,,,,,,,,,,,,,
125,Dutton-Lainson Company,1601 W 2nd St,Hastings,NE,68901-4837,Adams,Kris J Ridgway,PO Box 729,1601 W 2nd St Hastings 68901,,Hastings,NE,68902-0729,,,,,,,,,,,,,,,,,,,,,,,
128,Hastings Hide Inc,231 Road 3168,Hastings,NE,68901-9416,Clay,Timothy Wilke,231 Road 3168,,,Hastings,NE,68901-9416,,,,,,,,,,,,,,,,,,,,,,,
133,Thermo King Corporation,1800 Centennial Ave,Hastings,NE,68901-6712,Adams,Kevin Miller,1800 Centennial Ave,,,Hastings,NE,68901-6712,,,,,,,,,,,,,,,,,,,,,,,
134,Flowserve,1341 W 2nd St,Hastings,NE,68901-4960,Adams,Shellie L Beckman,1341 W 2nd St,,,Hastings,NE,68901-4960,,,,,,,,,,,,,,,,,,,,,,,
136,Gibraltar Packaging Inc,2000 Summit Ave,Hastings,NE,68901-6703,Adams,Kathryn Boltz,2000 Summit Ave,,,Hastings,NE,68901-6703,,,,,,,,,,,,,,,,,,,,,,,
138,Bruckman Rubber Co,101 S Saint Joseph Ave,Hastings,NE,68901-6238,Adams,Travis Turek,101 S Saint Joseph Ave,,,Hastings,NE,68901-6238,,,,,,,,,,,,,,,,,,,,,,,
142,Pump & Pantry 24,1630 E South St,Hastings,NE,68901-6476,Adams,Mike Epp,PO Box 1567,,,Grand Island,NE,68802-1567,,,,,,,,,,,,,,,,,,,,,,,
203,Consolidated Concrete Co,2000 N Baltimore Ave,Hastings,NE,68901-2622,Adams,Lisa Bell,2000 N Baltimore Ave,,,Hastings,NE,68901-2622,,,,,,,,,,,,,,,,,,,,,,,
