OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CO,USGS Colorado Water Science Center,USGS-410251102024201,SB01204232CDD NAWQA 25,Well,,10190018,,,,,41.04755556000000,-102.0448611000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3380.71,feet,10,feet,Interpolated from topographic map.,NGVD29,US,31,101,Alluvial aquifers,,Holocene Alluvium,Unconfined single aquifer,,22,ft,22,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-410344101560901,SB01304129CCD NAWQA 26,Well,,10190018,,,,,41.06211667000000,-101.9359083000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3320,feet,10,feet,Interpolated from topographic map.,NGVD29,US,31,101,Alluvial aquifers,,Holocene Alluvium,Unconfined single aquifer,,33,ft,33,ft,NWIS
USGS-CO,USGS Colorado Water Science Center,USGS-410959100582401,SB01403222DBC NAWQA 30,Well,,10180014,,,,,41.16624720000000,-100.9735056000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2885,feet,10,feet,Interpolated from topographic map.,NGVD29,US,31,111,Alluvial aquifers,,Holocene Alluvium,Unconfined single aquifer,,23,ft,23,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-06610000,"Missouri River at Omaha, NE",Stream,,10230006,322800,sq mi,,,41.25905556000000,-95.9232500000000,24000,5,seconds,Interpolated from Digital MAP.,NAD83,948.97,feet,.16,feet,Reported method of determination.,NAVD88,US,31,055,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-06770195,"NORTH DRY CR 2.0 MI SW OF BRG S OF KEARNEY, N",Stream,,10200101,77.7,sq mi,,,40.64112360000000,-99.1159223000000,,1,seconds,Interpolated from MAP.,NAD83,2140.00,feet,.01,feet,Level or other surveyed method.,NGVD29,US,31,099,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-06801000,"Platte River near Ashland, Nebr",Stream,,10200202,83600,sq mi,69300,sq mi,41.06225556000000,-96.3245139000000,24000,Unknown,Unknown,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAD83,1040.27,feet,.13,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,31,153,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-413340096402701,18N  7E 6BCCC1  CNBRLUSCR1 DO-24,Well,,10220003,,,,,41.56108330000000,-96.6742500000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1290,feet,5,feet,Interpolated from topographic map.,NGVD29,US,31,053,High Plains aquifer,,Holocene Alluvium,,20020815,24.5,ft,25,ft,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-414141096371701,20N  7E21AACD1  CNBRLUSCR1 DO-26,Well,,10220003,,,,,41.69483330000000,-96.6215000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1395,feet,5,feet,Interpolated from topographic map.,NGVD29,US,31,053,High Plains aquifer,,Loess,Confined single aquifer,20020814,57,ft,60,ft,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-415220096214801,22N  9E24BBAB1  CNBRLUSCR1 B-28,Well,,10220003,,,,,41.87219167000000,-96.3632611000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1328,feet,5,feet,Interpolated from topographic map.,NGVD29,US,31,021,Alluvial aquifers,,Loess,Unconfined single aquifer,20020730,17,ft,20,ft,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-420024096485901,24N  5E35CDAA1  CNBRLUSCR1 CU-19,Well,,10220003,,,,,42.00669720000000,-96.8163722000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,1380,feet,5,feet,Interpolated from topographic map.,NGVD29,US,31,039,High Plains aquifer,,Holocene Alluvium,Unconfined single aquifer,20020729,22,ft,25,ft,NWIS
